date	time	source_timestamp	Canada - Alberta	Canada - British Columbia	Canada - Grand Princess	Canada - Manitoba	Canada - New Brunswick	Canada - Newfoundland and Labrador	Canada - Nova Scotia	Canada - Ontario	Canada - Prince Edward Island	Canada - Quebec	Canada - Saskatchewan
2020-01-22	00:00:00	NA	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0
2020-01-23	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-24	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-25	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-26	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-27	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-28	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-29	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-30	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-31	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-01	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-02	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-03	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-04	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-05	00:00:00	NA	0-0-NA	2-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-06	00:00:00	NA	0-0-NA	2-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-07	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-08	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-09	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-10	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-11	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-12	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-13	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-14	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-15	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-16	00:00:00	NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-17	00:00:00	NA	0-0-NA	5-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-18	00:00:00	NA	0-0-NA	5-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-19	00:00:00	NA	0-0-NA	5-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-20	00:00:00	NA	0-0-NA	5-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-21	00:00:00	NA	0-0-NA	6-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-22	00:00:00	NA	0-0-NA	6-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-23	00:00:00	NA	0-0-NA	6-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-24	00:00:00	NA	0-0-NA	6-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-25	00:00:00	NA	0-0-NA	7-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-26	00:00:00	NA	0-0-NA	7-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	4-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-27	00:00:00	NA	0-0-NA	7-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	6-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-02-28	00:00:00	NA	0-0-NA	7-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	6-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-02-29	00:00:00	NA	0-0-NA	8-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	11-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-01	00:00:00	NA	0-0-NA	8-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	15-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-02	00:00:00	NA	0-0-NA	8-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	18-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-03	00:00:00	NA	0-0-NA	9-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	20-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-04	00:00:00	NA	0-0-NA	12-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	20-0-NA	0-0-NA	1-0-NA	0-0-NA
2020-03-05	00:00:00	NA	0-0-NA	13-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	22-0-NA	0-0-NA	2-0-NA	0-0-NA
2020-03-06	00:00:00	NA	1-0-NA	21-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	25-0-NA	0-0-NA	2-0-NA	0-0-NA
2020-03-07	00:00:00	NA	2-0-NA	21-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	28-0-NA	0-0-NA	3-0-NA	0-0-NA
2020-03-08	00:00:00	NA	4-0-NA	27-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	29-0-NA	0-0-NA	4-0-NA	0-0-NA
2020-03-09	00:00:00	NA	7-0-NA	32-1-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	34-0-NA	0-0-NA	4-0-NA	0-0-NA
2020-03-10	00:00:00	NA	7-0-NA	32-1-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	36-0-NA	0-0-NA	4-0-NA	0-0-NA
2020-03-11	00:00:00	NA	19-0-NA	39-1-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	41-0-NA	0-0-NA	8-0-NA	0-0-NA
2020-03-12	00:00:00	NA	19-0-NA	46-1-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	42-0-NA	0-0-NA	9-0-NA	0-0-NA
2020-03-13	00:00:00	NA	29-0-NA	64-1-NA	2-0-NA	4-0-NA	1-0-NA	0-0-NA	0-0-NA	74-0-NA	0-0-NA	17-0-NA	2-0-NA
2020-03-14	00:00:00	NA	29-0-NA	64-1-NA	2-0-NA	4-0-NA	1-0-NA	0-0-NA	0-0-NA	79-0-NA	0-0-NA	17-0-NA	2-0-NA
2020-03-15	00:00:00	NA	39-0-NA	73-1-NA	2-0-NA	4-0-NA	2-0-NA	1-0-NA	0-0-NA	104-0-NA	1-0-NA	24-0-NA	2-0-NA
2020-03-16	00:00:00	NA	56-0-NA	103-4-NA	2-0-NA	7-0-NA	6-0-NA	1-0-NA	5-0-NA	177-0-NA	1-0-NA	50-0-NA	7-0-NA
2020-03-17	00:00:00	NA	74-0-NA	103-4-NA	8-0-NA	8-0-NA	8-0-NA	3-0-NA	7-0-NA	185-1-NA	1-0-NA	74-0-NA	7-0-NA
2020-03-18	00:00:00	NA	97-0-NA	186-7-NA	9-0-NA	15-0-NA	11-0-NA	3-0-NA	12-0-NA	221-1-NA	1-0-NA	94-0-NA	8-0-NA
2020-03-19	00:00:00	NA	119-0-NA	231-7-NA	9-0-NA	17-0-NA	11-0-NA	3-0-NA	14-0-NA	257-1-NA	2-0-NA	121-1-NA	16-0-NA
2020-03-20	00:00:00	NA	146-1-NA	271-8-NA	10-0-NA	17-0-NA	11-0-NA	4-0-NA	15-0-NA	308-2-NA	2-0-NA	139-1-NA	20-0-NA
2020-03-21	00:00:00	NA	195-1-NA	424-10-NA	10-0-NA	18-0-NA	17-0-NA	6-0-NA	21-0-NA	377-3-NA	2-0-NA	181-5-NA	26-0-NA
2020-03-22	00:00:00	NA	259-1-NA	424-10-NA	13-0-NA	20-0-NA	17-0-NA	9-0-NA	28-0-NA	425-5-NA	3-0-NA	219-4-NA	52-0-NA
2020-03-23	00:00:00	NA	301-1-NA	472-13-NA	13-0-NA	20-0-NA	17-0-NA	24-0-NA	41-0-NA	503-6-NA	3-0-NA	628-4-NA	66-0-NA
2020-03-24	00:00:00	NA	359-1-NA	617-13-NA	13-0-NA	21-0-NA	18-0-NA	35-0-NA	51-0-NA	588-7-NA	3-0-NA	1013-4-NA	72-0-NA
2020-03-25	00:00:00	NA	358-2-NA	617-13-NA	13-0-NA	35-0-NA	18-0-NA	35-0-NA	68-0-NA	688-8-NA	5-0-NA	1342-6-NA	72-0-NA
2020-03-26	00:00:00	NA	486-2-NA	725-14-NA	13-0-NA	36-0-NA	33-0-NA	82-0-NA	73-0-NA	858-13-NA	5-0-NA	1632-8-NA	95-0-NA
2020-03-27	00:00:00	NA	542-2-NA	725-14-NA	13-0-NA	39-1-NA	45-0-NA	102-0-NA	90-0-NA	994-18-NA	9-0-NA	2024-18-NA	95-0-NA
2020-03-28	00:00:00	NA	542-2-NA	884-17-NA	13-0-NA	64-1-NA	51-0-NA	120-0-NA	110-0-NA	1144-18-NA	11-0-NA	2498-22-NA	134-0-NA
2020-03-29	00:00:00	NA	621-2-NA	884-17-NA	13-0-NA	72-1-NA	66-0-NA	135-0-NA	122-0-NA	1355-21-NA	11-0-NA	2840-22-NA	156-0-NA
2020-03-30	00:00:00	NA	661-3-NA	970-19-NA	13-0-NA	96-1-NA	68-0-NA	148-1-NA	127-0-NA	1706-31-NA	18-0-NA	3430-22-NA	156-2-NA
2020-03-31	00:00:00	NA	690-8-NA	1013-24-NA	13-0-NA	103-1-NA	70-0-NA	152-1-NA	147-0-NA	1966-33-NA	21-0-NA	4162-31-NA	184-2-NA
2020-04-01	00:00:00	NA	754-9-NA	1013-24-NA	13-0-NA	127-1-NA	81-0-NA	175-1-NA	173-0-NA	2392-37-NA	21-0-NA	4611-33-NA	193-3-NA
2020-04-02	00:00:00	NA	969-13-NA	1121-31-NA	13-0-NA	167-1-NA	91-0-NA	183-1-NA	193-0-NA	2793-53-NA	22-0-NA	5518-36-NA	206-3-NA
2020-04-03	00:00:00	NA	969-13-NA	1174-31-NA	13-0-NA	182-2-NA	91-0-NA	195-1-NA	207-0-NA	3255-67-NA	22-0-NA	6101-61-NA	220-3-NA
2020-04-04	00:00:00	NA	1075-18-NA	1203-38-NA	13-0-NA	182-2-NA	91-0-NA	195-1-NA	236-0-NA	3630-94-NA	22-0-NA	6101-61-NA	220-3-NA
2020-04-05	00:00:00	NA	1181-20-NA	1203-38-NA	13-0-NA	203-2-NA	98-0-NA	217-1-NA	262-0-NA	4354-119-NA	22-0-NA	7944-75-NA	249-3-NA
2020-04-06	00:00:00	NA	1250-23-NA	1266-38-NA	13-0-NA	203-2-NA	103-0-NA	226-1-NA	293-0-NA	4347-150-NA	22-0-NA	8580-121-NA	249-3-NA
2020-04-07	00:00:00	NA	1373-24-NA	1266-39-NA	13-0-NA	217-3-NA	105-0-NA	228-1-NA	310-1-NA	4726-153-NA	22-0-NA	9340-150-NA	260-3-NA
2020-04-08	00:00:00	NA	1373-26-NA	1291-43-NA	13-0-NA	217-3-NA	105-0-NA	228-1-NA	310-1-NA	5276-153-NA	25-1-NA	10031-175-NA	260-3-NA
2020-04-09	00:00:00	NA	1423-29-NA	1336-48-NA	13-0-NA	221-3-NA	108-0-NA	232-2-NA	342-1-NA	5759-200-NA	25-0-NA	10912-216-NA	271-3-NA
2020-04-10	00:00:00	NA	1451-32-NA	1370-50-NA	13-0-NA	230-3-NA	112-0-NA	239-3-NA	407-2-NA	6237-222-NA	25-0-NA	11677-241-NA	285-3-NA
2020-04-11	00:00:00	NA	1567-40-NA	1445-58-NA	13-0-NA	243-4-NA	112-0-NA	241-3-NA	428-2-NA	6648-253-NA	25-0-NA	12292-289-NA	289-4-NA
2020-04-12	00:00:00	NA	1567-40-NA	1445-58-NA	13-0-NA	242-4-NA	114-0-NA	242-3-NA	445-2-NA	7049-274-NA	25-0-NA	12846-328-NA	298-4-NA
2020-04-13	21:59:10	2020-04-13 21:59:10	1732-46-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	474-3-NA	7470-291-NA	25-0-NA	13557-360-NA	300-4-NA
2020-04-14	15:50:15	2020-04-14 15:50:15	1732-46-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	474-3-NA	7470-291-NA	25-0-NA	13557-360-NA	300-4-NA
2020-04-14	15:51:43	2020-04-14 15:51:43	1732-46-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	474-3-NA	7470-291-NA	25-0-NA	13557-360-NA	300-4-NA
2020-04-14	15:53:43	2020-04-14 15:53:43	1732-46-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	474-3-NA	7470-291-NA	25-0-NA	13557-360-NA	300-4-NA
2020-04-14	22:37:50	2020-04-14 22:37:50	1870-48-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	517-3-NA	7953-334-NA	25-0-NA	14248-435-NA	300-4-NA
2020-04-14	23:30:35	2020-04-14 23:30:35	1870-48-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	517-3-NA	7953-334-NA	25-0-NA	14248-435-NA	300-4-NA
2020-04-15	08:30:37	2020-04-15 08:30:37	1870-48-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	517-3-NA	7953-334-NA	25-0-NA	14248-435-NA	300-4-NA
2020-04-15	15:30:36	2020-04-15 15:30:36	1870-48-NA	1490-69-NA	13-0-NA	246-4-NA	116-0-NA	244-3-NA	517-3-NA	7953-334-NA	25-0-NA	14248-435-NA	300-4-NA