date	time	source_timestamp	China - Anhui	China - Beijing	China - Chongqing	China - Fujian	China - Gansu	China - Guangdong	China - Guangxi	China - Guizhou	China - Hainan	China - Hebei	China - Heilongjiang	China - Henan	China - Hong Kong	China - Hubei	China - Hunan	China - Inner Mongolia	China - Jiangsu	China - Jiangxi	China - Jilin	China - Liaoning	China - Macau	China - Ningxia	China - Qinghai	China - Shaanxi	China - Shandong	China - Shanghai	China - Shanxi	China - Sichuan	China - Tianjin	China - Tibet	China - Xinjiang	China - Yunnan	China - Zhejiang
2020-01-22	00:00:00	NA	1-0-0	14-0-0	6-0-0	1-0-0	0-0-0	26-0-0	2-0-0	1-0-0	4-0-0	1-0-0	0-0-0	5-0-0	0-0-0	444-17-28	4-0-0	0-0-0	1-0-0	2-0-0	0-0-0	2-0-0	1-0-0	1-0-0	0-0-0	0-0-0	2-0-0	9-0-0	1-0-0	5-0-0	4-0-0	0-0-0	0-0-0	1-0-0	10-0-0
2020-01-23	00:00:00	NA	9-0-0	22-0-0	9-0-0	5-0-0	2-0-0	32-0-2	5-0-0	3-0-0	5-0-0	1-1-0	2-0-0	5-0-0	2-0-0	444-17-28	9-0-0	0-0-0	5-0-0	7-0-0	1-0-0	3-0-0	2-0-0	1-0-0	0-0-0	3-0-0	6-0-0	16-0-0	1-0-0	8-0-0	4-0-0	0-0-0	2-0-0	2-0-0	27-0-0
2020-01-24	00:00:00	NA	15-0-0	36-0-1	27-0-0	10-0-0	2-0-0	53-0-2	23-0-0	3-0-0	8-0-0	2-1-0	4-1-0	9-0-0	2-0-0	549-24-31	24-0-0	1-0-0	9-0-0	18-0-0	3-0-0	4-0-0	2-0-0	2-0-0	0-0-0	5-0-0	15-0-0	20-0-1	1-0-0	15-0-0	8-0-0	0-0-0	2-0-0	5-0-0	43-0-1
2020-01-25	00:00:00	NA	39-0-0	41-0-2	57-0-0	18-0-0	4-0-0	78-0-2	23-0-0	4-0-0	19-0-0	8-1-0	9-1-0	32-0-0	5-0-0	761-40-32	43-0-0	7-0-0	18-0-1	18-0-0	4-0-0	17-0-0	2-0-0	3-0-0	1-0-0	15-0-0	27-0-0	33-0-1	6-0-0	28-0-0	10-0-0	0-0-0	3-0-0	11-0-0	62-0-1
2020-01-26	00:00:00	NA	60-0-0	68-0-2	75-0-0	35-0-0	7-0-0	111-0-2	36-0-0	5-0-0	22-0-0	13-1-0	15-1-0	83-1-0	8-0-0	1058-52-42	69-0-0	7-0-0	33-0-1	36-0-0	4-0-0	21-0-0	5-0-0	4-0-0	1-0-0	22-0-0	46-0-0	40-1-1	9-0-0	44-0-0	14-0-0	0-0-0	4-0-0	16-0-0	104-0-1
2020-01-27	00:00:00	NA	70-0-0	80-1-2	110-0-0	59-0-0	14-0-0	151-0-4	46-0-0	7-0-0	33-1-0	18-1-0	21-1-0	128-1-0	8-0-0	1423-76-45	100-0-0	11-0-0	47-0-1	72-0-2	6-0-0	27-0-0	6-0-0	7-0-0	6-0-0	35-0-0	75-0-0	53-1-3	13-0-0	69-0-0	23-0-0	0-0-0	5-0-0	26-0-0	128-0-1
2020-01-28	00:00:00	NA	106-0-0	91-1-4	132-0-0	80-0-0	19-0-0	207-0-4	51-0-2	9-0-0	40-1-0	33-1-0	33-1-0	168-1-0	8-0-0	3554-125-80	143-0-0	15-0-0	70-0-1	109-0-3	8-0-0	34-0-0	7-0-0	11-0-0	6-0-0	46-0-0	95-0-0	66-1-4	27-0-0	90-0-0	24-0-0	0-0-0	10-0-0	44-0-0	173-0-3
2020-01-29	00:00:00	NA	152-0-2	111-1-4	147-0-1	84-0-0	24-0-0	277-0-5	58-0-2	9-0-1	43-1-0	48-1-0	38-1-0	206-2-1	10-0-0	3554-125-88	221-0-0	16-0-0	99-0-1	109-0-3	9-0-0	39-0-1	7-0-0	12-0-0	6-0-0	56-0-0	130-0-1	96-1-5	27-0-1	108-1-1	27-0-0	0-0-0	13-0-0	55-0-0	296-0-3
2020-01-30	00:00:00	NA	200-0-2	114-1-4	182-0-1	101-0-0	26-0-0	354-0-10	78-0-2	12-0-1	46-1-1	65-1-0	44-2-0	278-2-2	10-0-0	4903-162-90	277-0-2	19-0-0	129-0-1	162-0-5	14-0-1	41-0-1	7-0-0	17-0-0	8-0-0	63-0-0	158-0-1	112-1-5	35-0-1	142-1-1	31-0-0	1-0-0	14-0-0	70-0-0	428-0-4
2020-01-31	00:00:00	NA	237-0-3	139-1-5	211-0-1	120-0-0	29-0-0	436-0-11	87-0-2	29-0-2	52-1-1	82-1-0	59-2-0	352-2-3	12-0-0	5806-204-141	332-0-2	20-0-1	168-0-5	240-0-7	14-0-1	48-0-1	7-0-0	21-0-0	8-0-0	87-0-0	184-0-2	135-1-9	39-0-1	177-1-1	32-0-0	1-0-0	17-0-0	83-0-1	538-0-14
2020-02-01	00:00:00	NA	297-0-5	168-1-9	247-1-3	144-0-0	40-0-0	535-0-14	100-0-2	29-0-2	62-1-1	96-1-0	80-2-2	422-2-3	13-0-0	7153-249-168	389-0-8	23-0-1	202-0-6	286-0-9	17-0-1	64-0-1	7-0-0	26-0-0	9-0-0	101-0-0	206-0-3	169-1-10	47-0-1	207-1-3	41-0-0	1-0-0	18-0-0	93-0-2	599-0-21
2020-02-02	00:00:00	NA	340-0-7	191-1-9	300-2-7	159-0-0	51-0-3	632-0-15	111-0-2	38-0-2	64-1-4	104-1-3	95-2-2	493-2-10	15-0-0	11177-350-295	463-0-16	27-0-1	236-0-7	333-0-12	23-0-1	70-0-1	8-0-0	28-0-0	11-0-0	116-0-0	230-0-6	182-1-10	66-0-3	231-1-11	48-0-1	1-0-0	21-0-0	105-0-3	661-0-32
2020-02-03	00:00:00	NA	408-0-14	212-1-12	337-2-9	179-0-1	55-0-3	725-0-21	127-0-7	46-0-2	72-1-4	113-1-3	121-2-2	566-2-16	15-0-0	13522-414-386	521-0-22	34-0-1	271-0-8	391-0-18	31-0-1	74-0-1	8-0-0	31-0-1	13-0-0	128-0-0	259-0-7	203-1-10	74-0-2	254-1-14	60-0-1	1-0-0	24-0-0	117-0-5	724-0-43
2020-02-04	00:00:00	NA	480-0-20	228-1-23	366-2-9	194-0-3	57-0-4	813-0-30	139-0-10	58-0-2	80-1-5	126-1-4	155-2-4	675-2-27	17-1-0	16678-479-522	593-0-31	35-0-1	308-0-12	476-0-20	42-0-1	81-0-2	10-0-0	34-0-1	15-0-0	142-0-2	275-0-11	219-1-12	81-0-4	282-1-14	67-0-2	1-0-0	29-0-0	122-0-5	829-0-62
2020-02-05	00:00:00	NA	530-0-23	253-1-24	389-2-15	205-0-11	62-0-6	895-0-49	150-0-13	64-1-9	99-1-5	135-1-6	190-2-7	764-2-47	21-1-0	19665-549-633	661-0-54	42-0-3	341-0-23	548-0-27	54-0-2	89-0-4	10-0-0	34-0-1	17-0-3	165-0-6	307-0-15	243-1-15	81-0-5	301-1-24	69-1-2	1-0-0	32-0-0	128-0-5	895-0-78
2020-02-06	00:00:00	NA	591-0-34	274-1-31	411-2-24	215-0-14	62-0-6	970-0-69	168-0-14	71-1-6	106-1-8	157-1-13	227-3-8	851-2-56	24-1-0	22112-618-817	711-0-81	46-0-4	373-0-34	600-0-37	59-0-4	94-0-5	10-0-1	40-0-1	18-0-3	173-0-9	347-0-27	257-1-25	96-0-12	321-1-31	79-1-2	1-0-0	36-0-0	133-0-7	954-0-94
2020-02-07	00:00:00	NA	665-0-47	297-1-33	426-2-31	224-0-20	67-0-9	1034-1-88	172-0-17	81-1-6	117-2-10	172-1-22	277-3-12	914-3-86	25-1-0	24953-699-1115	772-0-112	50-0-5	408-0-43	661-0-45	65-1-4	99-0-7	10-0-1	43-0-5	18-0-3	184-0-17	386-0-37	277-1-30	104-0-15	344-1-42	81-1-2	1-0-0	39-0-0	138-0-12	1006-0-123
2020-02-08	00:00:00	NA	733-0-59	315-2-34	428-2-39	239-0-24	79-1-12	1095-1-112	183-0-17	89-1-7	124-2-14	195-1-30	295-5-13	981-4-116	26-1-0	27100-780-1439	803-1-156	52-0-5	439-0-51	698-0-55	69-1-4	105-0-8	10-0-1	45-0-15	18-0-3	195-0-20	416-0-44	286-1-41	115-0-21	364-1-60	88-1-4	1-0-0	42-0-0	138-0-17	1048-0-175
2020-02-09	00:00:00	NA	779-1-72	326-2-37	468-2-51	250-0-35	83-2-16	1131-1-141	195-1-18	99-1-7	131-3-19	206-2-34	307-6-14	1033-6-153	29-1-0	29631-871-1795	838-1-186	54-0-5	468-0-71	740-0-73	78-1-12	107-0-12	10-0-1	45-0-13	18-0-3	208-0-25	444-1-63	293-1-44	119-0-25	386-1-71	91-1-4	1-0-0	45-0-0	141-0-18	1075-0-201
2020-02-10	00:00:00	NA	830-3-88	337-2-44	486-2-66	261-0-39	83-2-17	1159-1-167	210-1-24	109-1-10	138-3-19	218-2-41	331-7-30	1073-6-191	38-1-0	31728-974-2222	879-1-208	58-0-5	492-0-81	771-1-105	80-1-13	108-0-13	10-0-1	49-0-13	18-0-3	213-0-30	466-1-66	299-1-48	119-0-25	405-1-80	95-1-8	1-0-0	49-0-0	149-0-19	1092-0-242
2020-02-11	00:00:00	NA	860-4-105	342-3-48	505-3-79	267-0-45	86-2-24	1177-1-212	215-1-33	127-1-17	144-3-20	239-2-48	360-8-28	1105-7-218	49-1-0	33366-1068-2639	912-1-247	58-0-5	515-0-93	804-1-128	81-1-18	111-0-19	10-0-1	53-0-22	18-0-5	219-0-32	487-1-80	303-1-52	124-0-30	417-1-85	106-2-10	1-0-0	55-0-3	153-0-20	1117-0-270
2020-02-12	00:00:00	NA	889-4-127	352-3-56	518-3-102	272-0-53	87-2-31	1219-1-275	222-1-32	133-1-18	157-4-27	251-2-54	378-8-31	1135-8-246	50-1-1	33366-1068-2686	946-2-304	60-0-6	543-0-125	844-1-152	83-1-22	116-1-20	10-0-2	58-0-24	18-0-9	225-0-43	497-2-92	311-1-57	126-0-33	436-1-92	112-2-11	1-0-1	59-0-3	154-0-26	1131-0-321
2020-02-13	00:00:00	NA	910-5-157	366-3-69	529-4-128	279-0-57	90-2-39	1241-2-314	222-2-33	135-1-27	157-4-30	265-3-68	395-9-33	1169-10-296	53-1-1	48206-1310-3459	968-2-339	61-0-6	570-0-139	872-1-170	84-1-24	117-1-22	10-0-3	64-0-24	18-0-11	229-0-46	509-2-105	315-1-62	126-0-36	451-1-104	119-3-21	1-0-1	63-1-6	156-0-27	1145-0-360
2020-02-14	00:00:00	NA	934-6-193	372-3-80	537-5-152	281-0-63	90-2-39	1261-2-362	226-2-36	140-1-28	159-4-43	283-3-87	419-11-47	1184-11-357	56-1-1	54406-1457-4774	988-2-364	65-0-6	593-0-157	900-1-187	86-1-25	119-1-29	10-0-3	67-0-24	18-0-11	230-0-54	523-2-136	318-1-90	127-0-38	463-1-114	120-3-31	1-0-1	65-1-6	162-0-36	1155-0-403
2020-02-15	00:00:00	NA	950-6-221	375-4-98	544-5-184	285-0-71	90-2-49	1294-2-410	235-2-44	143-1-41	162-4-39	291-3-101	425-11-68	1212-13-391	56-1-1	56249-1596-5623	1001-2-425	68-0-7	604-0-186	913-1-210	88-1-26	119-1-31	10-0-3	70-0-33	18-0-13	232-0-60	532-2-156	326-1-124	128-0-46	470-1-119	122-3-37	1-0-1	70-1-10	168-0-42	1162-0-428
2020-02-16	00:00:00	NA	962-6-255	380-4-108	551-5-207	287-0-82	90-2-54	1316-2-465	237-2-49	144-1-46	162-4-52	300-3-105	445-11-79	1231-13-440	57-1-2	58182-1696-6639	1004-3-464	70-0-8	617-0-218	925-1-240	89-1-30	121-1-40	10-0-5	70-0-33	18-0-13	236-0-71	537-2-173	328-1-140	129-0-50	481-3-131	124-3-45	1-0-1	71-1-12	171-0-42	1167-0-456
2020-02-17	00:00:00	NA	973-6-280	381-4-114	553-5-225	290-0-90	91-2-58	1322-4-524	238-2-53	146-1-57	163-4-59	301-3-122	457-11-85	1246-16-509	60-1-2	59989-1789-7862	1006-3-498	72-0-8	626-0-258	930-1-275	89-1-34	121-1-43	10-0-5	70-0-35	18-0-13	240-0-79	541-2-191	333-1-161	130-0-53	495-3-156	125-3-46	1-0-1	75-1-12	171-0-47	1171-0-507
2020-02-18	00:00:00	NA	982-6-361	387-4-122	555-5-254	292-0-93	91-2-62	1328-4-565	242-2-69	146-2-66	163-4-79	306-4-136	464-11-111	1257-19-522	62-1-2	61682-1921-9128	1007-4-527	73-0-8	629-0-280	933-1-310	89-1-36	121-1-53	10-0-5	70-0-42	18-0-15	240-0-89	543-3-211	333-1-177	131-0-61	508-3-169	128-3-48	1-0-1	76-1-12	172-0-57	1172-0-535
2020-02-19	00:00:00	NA	986-6-413	393-4-145	560-5-274	293-0-112	91-2-65	1331-5-606	244-2-86	146-2-70	168-4-84	306-4-152	470-12-120	1262-19-573	63-2-5	62031-2029-10337	1008-4-561	75-0-10	631-0-318	934-1-362	90-1-37	121-1-55	10-0-5	71-0-42	18-0-16	242-0-102	544-3-231	333-2-186	131-0-68	514-3-188	130-3-54	1-0-1	76-1-20	172-1-60	1174-0-604
2020-02-20	00:00:00	NA	987-6-474	395-4-153	567-6-299	293-1-126	91-2-71	1332-5-642	245-2-90	146-2-72	168-4-86	307-5-169	476-12-136	1265-19-637	68-2-6	62442-2144-11788	1010-4-634	75-0-16	631-0-356	934-1-433	91-1-43	121-1-59	10-0-6	71-0-44	18-0-16	245-1-118	546-4-254	334-2-199	132-0-76	520-3-217	131-3-59	1-0-1	76-1-22	174-2-79	1175-1-633
2020-02-21	00:00:00	NA	988-6-539	396-4-169	572-6-316	293-1-149	91-2-76	1333-5-690	246-2-97	146-2-77	168-4-95	308-5-184	479-12-175	1267-19-736	68-2-5	62662-2144-11881	1011-4-661	75-0-17	631-0-373	934-1-489	91-1-45	121-1-61	10-0-6	71-0-48	18-0-18	245-1-134	749-4-281	334-2-211	132-0-78	525-3-231	132-3-62	1-0-1	76-1-24	174-2-96	1203-1-679
2020-02-22	00:00:00	NA	989-6-597	399-4-178	573-6-328	293-1-162	91-2-76	1339-5-728	249-2-104	146-2-90	168-4-104	309-6-203	479-12-204	1270-19-830	69-2-6	64084-2346-15299	1013-4-692	75-0-26	631-0-401	934-1-555	91-1-52	121-1-66	10-0-6	71-0-48	18-0-18	245-1-149	750-4-302	335-3-227	132-0-81	526-3-250	135-3-65	1-0-1	76-2-25	174-2-107	1205-1-719
2020-02-23	00:00:00	NA	989-6-637	399-4-189	575-6-335	293-1-170	91-2-78	1342-6-755	249-2-106	146-2-102	168-5-106	311-6-219	480-12-222	1271-19-868	74-2-11	64084-2346-15343	1016-4-714	75-0-27	631-0-418	934-1-613	91-1-54	121-1-73	10-0-6	71-0-56	18-0-18	245-1-163	754-4-321	335-3-249	132-0-88	526-3-261	135-3-81	1-0-1	76-2-28	174-2-115	1205-1-760
2020-02-24	00:00:00	NA	989-6-663	399-4-198	576-6-349	293-1-183	91-2-80	1345-6-786	251-2-112	146-2-102	168-5-116	311-6-234	480-12-227	1271-19-943	79-2-19	64287-2495-16748	1016-4-731	75-0-34	631-0-452	934-1-645	93-1-60	121-1-80	10-0-6	71-0-58	18-0-18	245-1-173	755-5-343	335-3-261	133-0-94	527-3-276	135-3-87	1-0-1	76-2-30	174-2-124	1205-1-782
2020-02-25	00:00:00	NA	989-6-712	400-4-215	576-6-372	294-1-199	91-2-80	1347-7-822	252-2-134	146-2-104	168-5-124	311-6-248	480-12-243	1271-19-1002	84-2-19	64786-2563-18971	1016-4-768	75-0-35	631-0-458	934-1-683	93-1-63	121-1-83	10-0-7	71-0-61	18-0-18	245-1-186	756-6-355	336-3-268	133-0-98	529-3-289	135-3-91	1-0-1	76-2-30	174-2-129	1205-1-808
2020-02-26	00:00:00	NA	989-6-744	400-4-235	576-6-384	294-1-218	91-2-81	1347-7-851	252-2-147	146-2-104	168-5-129	312-6-261	480-12-249	1271-19-1033	91-2-24	65187-2615-20969	1016-4-783	75-0-38	631-0-478	934-1-719	93-1-65	121-1-88	10-0-7	71-0-65	18-0-18	245-1-192	756-6-377	337-3-272	133-0-104	531-3-307	135-3-96	1-0-1	76-2-34	174-2-144	1205-1-867
2020-02-27	00:00:00	NA	989-6-792	410-5-248	576-6-401	296-1-228	91-2-81	1347-7-890	252-2-161	146-2-112	168-5-131	317-6-274	480-13-270	1272-20-1068	92-2-24	65596-2641-23383	1017-4-804	75-0-43	631-0-498	934-1-754	93-1-67	121-1-93	10-0-8	72-0-68	18-0-18	245-1-195	756-6-387	337-3-276	133-0-107	534-3-321	136-3-102	1-0-1	76-2-43	174-2-150	1205-1-932
2020-02-28	00:00:00	NA	990-6-821	410-7-257	576-6-422	296-1-235	91-2-82	1348-7-935	252-2-168	146-2-112	168-5-133	318-6-277	480-13-283	1272-20-1112	94-2-30	65914-2682-26403	1017-4-830	75-0-45	631-0-515	935-1-790	93-1-73	121-1-93	10-0-8	72-0-68	18-0-18	245-1-199	756-6-405	337-3-279	133-0-112	538-3-338	136-3-102	1-0-1	76-3-52	174-2-156	1205-1-975
2020-02-29	00:00:00	NA	990-6-868	411-8-271	576-6-438	296-1-243	91-2-82	1349-7-983	252-2-176	146-2-112	168-5-148	318-6-282	480-13-301	1272-21-1170	95-2-33	66337-2727-28993	1018-4-846	75-0-49	631-0-523	935-1-811	93-1-75	121-1-96	10-0-8	73-0-69	18-0-18	245-1-207	756-6-421	337-3-287	133-0-114	538-3-351	136-3-109	1-0-1	76-3-62	174-2-157	1205-1-1016
2020-03-01	00:00:00	NA	990-6-873	413-8-276	576-6-450	296-1-247	91-2-84	1349-7-1016	252-2-181	146-2-112	168-5-149	318-6-294	480-13-342	1272-22-1198	96-2-36	66907-2761-31536	1018-4-866	75-0-52	631-0-536	935-1-831	93-1-78	122-1-103	10-0-8	73-0-69	18-0-18	245-1-208	758-6-443	337-3-290	133-0-116	538-3-365	136-3-111	1-0-1	76-3-64	174-2-163	1205-1-1046
2020-03-02	00:00:00	NA	990-6-917	414-8-282	576-6-469	296-1-255	91-2-85	1350-7-1059	252-2-192	146-2-114	168-5-151	318-6-296	480-13-356	1272-22-1205	100-2-36	67103-2803-33934	1018-4-887	75-0-54	631-0-543	935-1-850	93-1-83	122-1-103	10-0-8	74-0-69	18-0-18	245-1-216	758-6-460	337-3-292	133-0-119	538-3-386	136-3-111	1-0-1	76-3-66	174-2-168	1206-1-1069
2020-03-03	00:00:00	NA	990-6-936	414-8-288	576-6-490	296-1-260	91-2-86	1350-7-1101	252-2-202	146-2-114	168-5-155	318-6-300	480-13-366	1272-22-1231	100-2-37	67217-2835-36208	1018-4-906	75-1-59	631-0-562	935-1-870	93-1-83	125-1-106	10-0-9	74-0-69	18-0-18	245-1-216	758-6-511	338-3-294	133-0-124	538-3-394	136-3-124	1-0-1	76-3-68	174-2-169	1213-1-1093
2020-03-04	00:00:00	NA	990-6-956	418-8-297	576-6-502	296-1-270	91-2-87	1350-7-1133	252-2-210	146-2-114	168-5-158	318-6-301	480-13-373	1272-22-1234	105-2-37	67332-2871-38557	1018-4-916	75-1-63	631-0-577	935-1-884	93-1-86	125-1-106	10-0-9	75-0-69	18-0-18	245-1-223	758-6-516	338-3-298	133-0-124	538-3-406	136-3-124	1-0-1	76-3-69	174-2-169	1213-1-1114
2020-03-05	00:00:00	NA	990-6-970	418-8-297	576-6-512	296-1-277	102-2-87	1351-7-1181	252-2-214	146-2-114	168-6-158	318-6-304	481-13-379	1272-22-1239	105-2-43	67466-2902-40592	1018-4-938	75-1-65	631-0-583	935-1-901	93-1-88	125-1-106	10-0-9	75-0-69	18-0-18	245-1-224	758-6-578	339-3-303	133-0-126	539-3-425	136-3-128	1-0-1	76-3-70	174-2-169	1215-1-1124
2020-03-06	00:00:00	NA	990-6-979	422-8-299	576-6-513	296-1-284	119-2-87	1352-7-1216	252-2-217	146-2-114	168-6-158	318-6-305	481-13-396	1272-22-1244	107-2-46	67592-2931-42033	1018-4-955	75-1-65	631-0-594	935-1-909	93-1-90	125-1-106	10-0-10	75-0-71	18-0-18	245-1-226	758-6-618	342-3-306	133-0-126	539-3-442	136-3-128	1-0-1	76-3-71	174-2-170	1215-1-1147
2020-03-07	00:00:00	NA	990-6-979	426-8-303	576-6-526	296-1-295	120-2-87	1352-7-1237	252-2-218	146-2-115	168-6-158	318-6-307	481-13-403	1272-22-1244	108-2-51	67666-2959-43500	1018-4-960	75-1-67	631-0-606	935-1-916	93-1-90	125-1-107	10-0-10	75-0-71	18-0-18	245-1-226	758-6-627	342-3-313	133-0-126	539-3-454	136-3-128	1-0-1	76-3-72	174-2-170	1215-1-1154
2020-03-08	00:00:00	NA	990-6-984	428-8-308	576-6-527	296-1-295	124-2-87	1352-7-1256	252-2-223	146-2-117	168-6-159	318-6-307	481-13-412	1272-22-1247	114-3-58	67707-2986-45235	1018-4-968	75-1-70	631-0-612	935-1-919	93-1-90	125-1-109	10-0-10	75-0-71	18-0-18	245-1-227	758-6-642	342-3-314	133-0-126	539-3-464	136-3-128	1-0-1	76-3-73	174-2-170	1215-1-1161
